!version date: 2023/07/05 00:21:08
!description: Mapping of GO terms to Pfam entries. This mapping is generated from data supplied by InterPro for the InterPro2GO mapping.
!external resources: http://www.ebi.ac.uk/interpro, http://pfam.sanger.ac.uk/
!citation: Mitchell et al. (2015) Nucl. Acids Res. 43 :D213-D221
!contact:interhelp@ebi.ac.uk
!
Pfam:PF00001 7tm_1 > GO:G protein-coupled receptor activity ; GO:0004930
Pfam:PF00001 7tm_1 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00001 7tm_1 > GO:membrane ; GO:0016020
Pfam:PF00002 7tm_2 > GO:G protein-coupled receptor activity ; GO:0004930
Pfam:PF00002 7tm_2 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00002 7tm_2 > GO:membrane ; GO:0016020
Pfam:PF00003 7tm_3 > GO:G protein-coupled receptor activity ; GO:0004930
Pfam:PF00003 7tm_3 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00003 7tm_3 > GO:membrane ; GO:0016020
Pfam:PF00004 AAA > GO:ATP binding ; GO:0005524
Pfam:PF00004 AAA > GO:ATP hydrolysis activity ; GO:0016887
Pfam:PF00005 ABC_tran > GO:ATP binding ; GO:0005524
Pfam:PF00006 ATP-synt_ab > GO:ATP binding ; GO:0005524
Pfam:PF00009 GTP_EFTU > GO:GTPase activity ; GO:0003924
Pfam:PF00009 GTP_EFTU > GO:GTP binding ; GO:0005525
Pfam:PF00010 HLH > GO:protein dimerization activity ; GO:0046983
Pfam:PF00012 HSP70 > GO:ATP binding ; GO:0005524
Pfam:PF00012 HSP70 > GO:ATP-dependent protein folding chaperone ; GO:0140662
Pfam:PF00013 KH_1 > GO:RNA binding ; GO:0003723
Pfam:PF00014 Kunitz_BPTI > GO:serine-type endopeptidase inhibitor activity ; GO:0004867
Pfam:PF00015 MCPsignal > GO:signal transduction ; GO:0007165
Pfam:PF00015 MCPsignal > GO:membrane ; GO:0016020
Pfam:PF00016 RuBisCO_large > GO:magnesium ion binding ; GO:0000287
Pfam:PF00016 RuBisCO_large > GO:ribulose-bisphosphate carboxylase activity ; GO:0016984
Pfam:PF00018 SH3_1 > GO:protein binding ; GO:0005515
Pfam:PF00019 TGF_beta > GO:growth factor activity ; GO:0008083
Pfam:PF00020 TNFR_c6 > GO:protein binding ; GO:0005515
Pfam:PF00023 Ank > GO:protein binding ; GO:0005515
Pfam:PF00025 Arf > GO:GTPase activity ; GO:0003924
Pfam:PF00025 Arf > GO:GTP binding ; GO:0005525
Pfam:PF00028 Cadherin > GO:calcium ion binding ; GO:0005509
Pfam:PF00028 Cadherin > GO:homophilic cell adhesion via plasma membrane adhesion molecules ; GO:0007156
Pfam:PF00028 Cadherin > GO:membrane ; GO:0016020
Pfam:PF00031 Cystatin > GO:cysteine-type endopeptidase inhibitor activity ; GO:0004869
Pfam:PF00032 Cytochrom_B_C > GO:electron transfer activity ; GO:0009055
Pfam:PF00032 Cytochrom_B_C > GO:oxidoreductase activity ; GO:0016491
Pfam:PF00032 Cytochrom_B_C > GO:membrane ; GO:0016020
Pfam:PF00033 Cytochrome_B > GO:electron transfer activity ; GO:0009055
Pfam:PF00033 Cytochrome_B > GO:oxidoreductase activity ; GO:0016491
Pfam:PF00033 Cytochrome_B > GO:membrane ; GO:0016020
Pfam:PF00034 Cytochrom_C > GO:electron transfer activity ; GO:0009055
Pfam:PF00034 Cytochrom_C > GO:heme binding ; GO:0020037
Pfam:PF00036 EF-hand_1 > GO:calcium ion binding ; GO:0005509
Pfam:PF00039 fn1 > GO:extracellular region ; GO:0005576
Pfam:PF00041 fn3 > GO:protein binding ; GO:0005515
Pfam:PF00042 Globin > GO:heme binding ; GO:0020037
Pfam:PF00044 Gp_dh_N > GO:NAD binding ; GO:0051287
Pfam:PF00046 Homeodomain > GO:DNA binding ; GO:0003677
Pfam:PF00048 IL8 > GO:chemokine activity ; GO:0008009
Pfam:PF00048 IL8 > GO:immune response ; GO:0006955
Pfam:PF00048 IL8 > GO:extracellular region ; GO:0005576
Pfam:PF00049 Insulin > GO:hormone activity ; GO:0005179
Pfam:PF00049 Insulin > GO:extracellular region ; GO:0005576
Pfam:PF00050 Kazal_1 > GO:protein binding ; GO:0005515
Pfam:PF00056 Ldh_1_N > GO:oxidoreductase activity ; GO:0016491
Pfam:PF00057 Ldl_recept_a > GO:protein binding ; GO:0005515
Pfam:PF00060 Lig_chan > GO:ligand-gated monoatomic ion channel activity ; GO:0015276
Pfam:PF00060 Lig_chan > GO:membrane ; GO:0016020
Pfam:PF00063 Myosin_head > GO:cytoskeletal motor activity ; GO:0003774
Pfam:PF00063 Myosin_head > GO:ATP binding ; GO:0005524
Pfam:PF00063 Myosin_head > GO:myosin complex ; GO:0016459
Pfam:PF00064 Neur > GO:exo-alpha-sialidase activity ; GO:0004308
Pfam:PF00064 Neur > GO:carbohydrate metabolic process ; GO:0005975
Pfam:PF00064 Neur > GO:membrane ; GO:0016020
Pfam:PF00064 Neur > GO:host cell membrane ; GO:0033644
Pfam:PF00064 Neur > GO:virion membrane ; GO:0055036
Pfam:PF00067 p450 > GO:monooxygenase activity ; GO:0004497
Pfam:PF00067 p450 > GO:iron ion binding ; GO:0005506
Pfam:PF00067 p450 > GO:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705
Pfam:PF00067 p450 > GO:heme binding ; GO:0020037
Pfam:PF00068 Phospholip_A2_1 > GO:phospholipase A2 activity ; GO:0004623
Pfam:PF00068 Phospholip_A2_1 > GO:phospholipid metabolic process ; GO:0006644
Pfam:PF00068 Phospholip_A2_1 > GO:arachidonic acid secretion ; GO:0050482
Pfam:PF00069 Pkinase > GO:protein kinase activity ; GO:0004672
Pfam:PF00069 Pkinase > GO:ATP binding ; GO:0005524
Pfam:PF00069 Pkinase > GO:protein phosphorylation ; GO:0006468
Pfam:PF00071 Ras > GO:GTPase activity ; GO:0003924
Pfam:PF00071 Ras > GO:GTP binding ; GO:0005525
Pfam:PF00072 Response_reg > GO:phosphorelay signal transduction system ; GO:0000160
Pfam:PF00073 Rhv > GO:structural molecule activity ; GO:0005198
Pfam:PF00075 RNase_H > GO:nucleic acid binding ; GO:0003676
Pfam:PF00075 RNase_H > GO:RNA-DNA hybrid ribonuclease activity ; GO:0004523
Pfam:PF00076 RRM_1 > GO:RNA binding ; GO:0003723
Pfam:PF00080 Sod_Cu > GO:metal ion binding ; GO:0046872
Pfam:PF00080 Sod_Cu > GO:superoxide metabolic process ; GO:0006801
Pfam:PF00081 Sod_Fe_N > GO:superoxide dismutase activity ; GO:0004784
Pfam:PF00081 Sod_Fe_N > GO:metal ion binding ; GO:0046872
Pfam:PF00081 Sod_Fe_N > GO:superoxide metabolic process ; GO:0006801
Pfam:PF00082 Peptidase_S8 > GO:serine-type peptidase activity ; GO:0008236
Pfam:PF00082 Peptidase_S8 > GO:proteolysis ; GO:0006508
Pfam:PF00083 Sugar_tr > GO:transmembrane transporter activity ; GO:0022857
Pfam:PF00083 Sugar_tr > GO:transmembrane transport ; GO:0055085
Pfam:PF00083 Sugar_tr > GO:membrane ; GO:0016020
Pfam:PF00089 Trypsin > GO:serine-type endopeptidase activity ; GO:0004252
Pfam:PF00089 Trypsin > GO:proteolysis ; GO:0006508
Pfam:PF00091 Tubulin > GO:GTP binding ; GO:0005525
Pfam:PF00093 VWC > GO:protein binding ; GO:0005515
Pfam:PF00095 WAP > GO:peptidase inhibitor activity ; GO:0030414
Pfam:PF00095 WAP > GO:extracellular region ; GO:0005576
Pfam:PF00097 zf-C3HC4 > GO:metal ion binding ; GO:0046872
Pfam:PF00098 zf-CCHC > GO:nucleic acid binding ; GO:0003676
Pfam:PF00098 zf-CCHC > GO:zinc ion binding ; GO:0008270
Pfam:PF00102 Y_phosphatase > GO:protein tyrosine phosphatase activity ; GO:0004725
Pfam:PF00102 Y_phosphatase > GO:protein dephosphorylation ; GO:0006470
Pfam:PF00103 Hormone_1 > GO:hormone activity ; GO:0005179
Pfam:PF00103 Hormone_1 > GO:extracellular region ; GO:0005576
Pfam:PF00105 zf-C4 > GO:DNA-binding transcription factor activity ; GO:0003700
Pfam:PF00105 zf-C4 > GO:zinc ion binding ; GO:0008270
Pfam:PF00105 zf-C4 > GO:sequence-specific DNA binding ; GO:0043565
Pfam:PF00105 zf-C4 > GO:regulation of DNA-templated transcription ; GO:0006355
Pfam:PF00108 Thiolase_N > GO:acyltransferase activity, transferring groups other than amino-acyl groups ; GO:0016747
